ID,姓名,性別,出生年,出生地,照片檔名
152,許志猛,男性,1974,福建省金門縣,許志猛.jpg
153,許金土,男性,1954,福建省金門縣,
154,許金象,男性,1955,福建省金門縣,
155,許建中,男性,1962,福建省金門縣,許建中.jpg
156,許華玉,女性,1954,福建省金門縣,許華玉.jpg
157,許慧新,男性,1963,福建省金門縣,許慧新.jpg
158,許燕道,男性,1961,福建省金門縣,
159,許燕輝,男性,1978,福建省金門縣,許燕輝.jpg
160,許勵宏,男性,1953,福建省金門縣,
161,郭永隆,男性,1957,福建省金門縣,郭永隆.jpg
162,郭金堡,男性,1966,福建省金門縣,郭金堡.jpg
163,陳子芸,女性,1971,臺中市,陳子芸.jpg
164,陳川青,男性,1949,福建省金門縣,
165,陳允火,男性,1943,福建省金門縣,
166,陳天成,男性,1947,福建省金門縣,陳天成.jpg
167,陳尤莉,女性,1971,福建省金門縣,陳尤莉.jpg
168,陳文慶,男性,1959,福建省金門縣,
169,陳文顧,男性,1962,福建省金門縣,陳文顧.jpg
170,陳水木,男性,1948,福建省金門縣,
171,陳水在,男性,1948,福建省金門縣,陳水在.jpg
172,陳水賜,男性,1954,福建省金門縣,
173,陳丕陽,男性,1961,福建省金門縣,
174,陳平,男性,1957,福建省金門縣,
175,陳永財,男性,1938,福建省金門縣,
176,陳玉珍,女性,1973,福建省金門縣,陳玉珍.jpg
177,陳仲立,男性,1958,福建省金門縣,陳仲立.jpg
178,陳向鑫,男性,1977,福建省金門縣,
179,陳成勇,男性,1962,,陳成勇.jpg
180,陳成泉,男性,1966,福建省金門縣,陳成泉.jpg
181,陳孝融,男性,1991,福建省金門縣,陳孝融.jpg
182,陳志強,男性,1968,,
183,陳志斌,男性,1983,福建省金門縣,陳志斌.jpg
184,陳志龍,男性,1983,福建省金門縣,
185,陳秀治,女性,1952,福建省金門縣,
186,陳秀金,女性,1960,福建省金門縣,
187,陳秀卿,女性,1963,福建省金門縣,陳秀卿.jpg
188,陳其德,男性,1969,,
189,陳宗龍,男性,1970,,
192,陳怡利,女性,1975,福建省金門縣,陳怡利.jpg
192,陳衍利,女性,1975,福建省金門縣,陳衍利.jpg
193,陳昆第,男性,1949,,
194,陳泱瑚,男性,1974,福建省金門縣,陳泱瑚.jpg
195,陳金城,男性,1961,,
196,陳金階,男性,1953,,
197,陳威彰,男性,1989,福建省金門縣,陳威彰.jpg
198,陳昭南,男性,1942,福建省金門縣,
199,陳美雲,女性,1952,福建省金門縣,
200,陳苗生,男性,1970,福建省金門縣,陳苗生.jpg
201,陳家揚,男性,1995,桃園市,陳家揚.jpg
202,陳恩賜,男性,1946,福建省金門縣,
203,陳國堯,男性,1955,福建省金門縣,
204,陳淑亭,女性,1986,福建省金門縣,陳淑亭.jpg
205,陳清煌,男性,1962,福建省金門縣,
206,陳清寶,男性,1955,福建省金門縣,陳清寶.jpg
207,陳溢富,男性,1946,福建省金門縣,
208,陳滄江,男性,1955,福建省金門縣,陳滄江.jpg
209,陳福海,男性,1963,福建省金門縣,陳福海.jpg
210,陳德輝,男性,1980,福建省金門縣,陳德輝.jpg
211,陳曉芸,女性,1972,福建省金門縣,
212,陳篤驫,男性,1962,福建省金門縣,
213,陳興坵,男性,1954,,
214,陳興國,男性,1958,,
215,陳興德,男性,1964,福建省金門縣,
216,陳錦偉,男性,1974,福建省金門縣,陳錦偉.jpg
217,陳應龍,男性,1953,福建省金門縣,
218,陳膺天,男性,1956,福建省金門縣,
219,陳耀煇,男性,1952,福建省金門縣,
220,程耀德,男性,1986,高雄市,程耀德.jpg
221,黃子誠,男性,1995,臺北市,黃子誠.jpg
222,黃文欣,男性,1973,福建省金門縣,黃文欣.jpg
223,黃文麟,男性,1973,福建省金門縣,黃文麟.jpg
224,黃克標,男性,1968,,
225,黃秀花,女性,1970,高雄市,
226,黃秀珍,女性,1956,,黃秀珍.jpg
227,黃武仁,男性,1938,福建省金門縣,
228,黃金揚,男性,1960,福建省金門縣,
229,黃金龍,男性,1963,,
230,黃奕炘,男性,1960,,
231,黃奕焮,男性,1959,福建省金門縣,黃奕焮.jpg
232,黃啟璋,男性,1961,福建省金門縣,
233,黃清壈,男性,1945,,
234,黃積軍,男性,1939,福建省金門縣,
235,黃聰成,男性,1955,福建省金門縣,黃聰成.jpg
236,楊水信,男性,1960,福建省金門縣,
237,楊永立,男性,1959,福建省金門縣,楊永立.jpg
238,楊成家,男性,？,福建省金門縣,
239,楊志人,男性,1962,,
240,楊育菡,女性,1993,高雄市,楊育菡.jpg
241,楊忠俊,男性,1968,福建省金門縣,楊忠俊.jpg
242,楊松發,男性,1964,福建省金門縣,
243,楊春木,男性,1958,,
244,楊重城,男性,1960,福建省金門縣,
245,楊財祥,男性,1954,福建省金門縣,
246,楊紫玫,女性,1972,福建省金門縣,
247,楊肅元,男性,1939,福建省金門縣,楊肅元.jpg
248,楊萬山,男性,1967,福建省金門縣,楊萬山.jpg
249,楊榮祥,男性,1953,福建省金門縣,楊榮祥.jpg
250,楊霈璿,男性,1994,高雄市,楊霈璿.jpg
251,楊應雄,男性,1957,福建省金門縣,楊應雄.jpg
252,楊鎮浯,男性,1972,福建省金門縣,楊鎮浯.jpg
253,楊耀芸,男性,1940,,
254,董東漢,男性,1951,福建省金門縣,
255,董森堡,男性,1978,福建省金門縣,董森堡.jpg
256,雷由靖,男性,1961,福建省金門縣,
257,廖進入,男性,1960,福建省金門縣,廖進入.jpg
258,翟美玉,女性,1951,福建省金門縣,
259,趙瑞英,女性,1954,福建省金門縣,
260,趙詩姿,女性,1946,福建省金門縣,
261,劉立中,男性,1962,福建省金門縣,
262,劉時榮,男性,1984,福建省金門縣,
263,歐陽彥木,男性,1961,福建省金門縣,歐陽彥木.jpg
264,歐陽豪,男性,1980,福建省金門縣,歐陽豪.jpg
265,歐陽儀雄,男性,1973,臺北市,歐陽儀雄.jpg
266,蔡乃靖,男性,1973,福建省金門縣,蔡乃靖.jpg
267,蔡云豪,男性,1985,高雄市,蔡云豪.jpg
268,蔡元珍,男性,1947,,
269,蔡水游,男性,1957,福建省金門縣,蔡水游.jpg
270,蔡永富,男性,1971,福建省金門縣,
271,蔡西湖,男性,1959,福建省金門縣,蔡西湖.jpg
272,蔡其賀,男性,1966,福建省金門縣,蔡其賀.jpg
273,蔡其雍,男性,1971,福建省金門縣,蔡其雍.jpg
274,蔡宗儒,男性,1982,福建省金門縣,蔡宗儒.jpg
275,蔡建偉1,男性,1976,福建省金門縣,
276,蔡建偉2,男性,1986,福建省金門縣,蔡建偉2.jpg
277,蔡春生,男性,1954,福建省金門縣,蔡春生.jpg
278,蔡是民,男性,1947,福建省金門縣,
279,蔡昱軒,男性,1984,福建省金門縣,
280,蔡培榮,男性,1985,福建省金門縣,蔡培榮.jpg
281,蔡連進,男性,1962,福建省金門縣,蔡連進.jpg
282,蔡群生,男性,1957,福建省金門縣,
283,蔡福春,男性,1964,福建省金門縣,
284,蔡福祿,男性,1954,,
285,蔡輝詩,男性,1955,,
286,蔡燕明,女性,1961,,
287,蔡寶愛,女性,1947,福建省金門縣,蔡寶愛.jpg
288,鄭秀容,女性,1956,福建省金門縣,
289,鄭根本,男性,1960,福建省金門縣,
290,鄭志軍,男性,1983,,鄭志軍.jpg
291,盧月香,女性,1964,福建省永定縣,盧月香.jpg
292,盧志權,男性,1950,,
293,盧冠宇,男性,1980,福建省金門縣,盧冠宇.jpg
294,賴育茜,女性,1965,福建省金門縣,
294,賴育千,女性,1965,福建省金門縣,
295,謝宜璋,男性,1967,福建省金門縣,
296,謝東龍,男性,1970,福建省金門縣,謝東龍.jpg
